First name,Last name,State,Job,2016 Role,District,Next up for re-election:,Position on Trump,Source,Cook Political Report rating,Opposing Democrat,Dem Website
Don,Young,AK,Representative,Incumbent Representative,0,2016,Support,http://www.ktva.com/millett-calls-alaskans-stand-trump-colleagues-will-stand-521/,No,,
Dan,Sullivan,AK,Senator,Incumbent Senator,N/A,2020,Opposed after 2005 tape release,http://www.ktva.com/alaska-leaders-urge-trump-quit-presidential-race-following-lewd-comments-382/,No,,
Lisa,Murkowski,AK,Senator,Incumbent Senator,N/A,2016,Opposed after 2005 tape release,http://www.ktva.com/alaska-leaders-urge-trump-quit-presidential-race-following-lewd-comments-382/,No,,
Bradley,Byrne,AL,Representative,Incumbent Representative,1,2016,Support,http://www.al.com/news/mobile/index.ssf/2016/10/rep_bradley_byrne_clarifies_po.html,No,,
Martha,Roby,AL,Representative,Incumbent Representative,2,2016,Opposed after 2005 tape release,http://www.al.com/news/montgomery/index.ssf/2016/10/alabama_congresswoman_says_she.html,No,,
Mike,Rogers,AL,Representative,Incumbent Representative,3,2016,Endorser,http://www.wsj.com/articles/former-house-intel-chief-mike-rogers-to-play-big-role-on-donald-trumps-transition-team-1470770808,No,,
Robert,Aderholt,AL,Representative,Incumbent Representative,4,2016,Endorser,http://www.al.com/news/index.ssf/2016/08/alabama_congressman_robert_ade_1.html,No,,
Mo,Brooks,AL,Representative,Incumbent Representative,5,2016,Support,http://www.al.com/news/huntsville/index.ssf/2016/10/rep_mo_brooks_on_trump_hes_a_b.html,No,,
Gary,Palmer,AL,Representative,Incumbent Representative,6,2016,Support,http://www.montgomeryadvertiser.com/story/news/politics/southunionstreet/2016/10/08/martha-roby-condemns-trump-says-she-wont-vote-him/91784328/,No,,
Jeff,Sessions,AL,Senator,Incumbent Senator,N/A,2020,Endorser,http://www.politico.com/story/2016/02/sen-jeff-sessions-endorses-trump-219939,Not up for re-election,,
Robert,Bentley,AL,Governor,Incumbent Governor,N/A,2018,Opposed after 2005 tape release,http://whnt.com/2016/10/08/gov-bentley-says-he-can-no-longer-vote-for-trump/,Not up for re-election,,
Richard,Shelby,AL,Senator,Incumbent Senator,N/A,2016,Support,http://www.al.com/news/index.ssf/2016/03/sen_richard_shelby_addresses_p.html,No,,
Rick,Crawford,AR,Representative,Incumbent Representative,1,2016,Support,http://kasu.org/post/crawford-talks-trump-transgender-bathrooms-nyit-do-medical-school-and-more-kasu#stream/0,No,,
French,Hill,AR,Representative,Incumbent Representative,2,2016,Support,http://katv.com/news/political/majority-of-arkansas-republicans-say-they-will-support-donald-trump,No,,
Steve,Womack,AR,Representative,Incumbent Representative,3,2016,Support,http://katv.com/news/political/majority-of-arkansas-republicans-say-they-will-support-donald-trump,No,,
Bruce,Westerman,AR,Representative,Incumbent Representative,4,2016,Support,http://www.bloomberg.com/politics/articles/2016-07-13/some-republicans-to-skip-trump-convention-by-heading-overseas,No,,
Tom,Cotton,AR,Senator,Incumbent Senator,N/A,2020,Support,http://ktar.com/story/1056689/sen-john-mccain-two-other-senators-will-support-donald-trump-as-gop-nominee/,Not up for re-election,,
John,Boozman,AR,Senator,Incumbent Senator,N/A,2016,Support,https://talkbusiness.net/2016/08/sen-boozman-continues-to-support-trump-amid-falling-poll-numbers-and-controversies/,No,,
Asa,Hutchinson,AR,Governor,Incumbent Governor,N/A,2018,Support,http://www.arktimes.com/ArkansasBlog/archives/2016/05/04/gov-asa-hutchinson-now-backs-donald-trump-for-president,Not up for re-election,,
Paul,Babeu,AZ,Candidate,Candidate for Representative,1,2016,Endorser,https://www.youtube.com/watch?v=7dBUSu-dAgo,Toss-Up,Tom O'Halleran,http://www.tomohalleran.com/
Martha,McSally,AZ,Representative,Incumbent Representative,2,2016,Unsure or won't say,http://www.tucsonweekly.com/TheRange/archives/2016/07/25/martha-mcsally-is-not-endorsing-donald-trump-so-you-can-stop-asking-about-it,Lean Republican,Matt Heinz,http://www.heinzforarizona.com/#intro
Paul,Gosar,AZ,Representative,Incumbent Representative,4,2016,Endorser,http://gosar4congress.com/press-releases-1/2016/7/27/paul-gosar-endorses-donald-trump-for-president-time-to-unite,No,,
Andy,Biggs,AZ,Candidate,Candidate for Representative,5,2016,Support,http://www.azcentral.com/story/news/politics/elections/2016/05/25/arizona-republican-establishment-donald-trump/84209120/,No,,
David,Schweikert,AZ,Representative,Incumbent Representative,6,2016,Support,http://www.azcentral.com/story/news/politics/elections/2016/05/25/arizona-republican-establishment-donald-trump/84209120/,No,,
Eve,Nunez,AZ,Candidate,Candidate for Representative,7,2016,Unknown,,No,,
Trent,Franks,AZ,Representative,Incumbent Representative,8,2016,Support,http://www.azcentral.com/story/news/politics/elections/2016/05/25/arizona-republican-establishment-donald-trump/84209120/,No,,
Dave,Giles,AZ,Candidate,Candidate for Representative,9,2016,Unknown,,No,,
Doug,Ducey,AZ,Governor,Incumbent Governor,N/A,2018,Endorser,http://www.azcentral.com/story/news/politics/elections/2016/08/30/doug-ducey-speak-before-donald-trump-takes-stage/89608586/,Not up for re-election,,
Jeff,Flake,AZ,Senator,Incumbent Senator,N/A,2018,Opposed before 2005 tape release,http://www.politico.com/story/2016/09/jeff-flake-arizona-clinton-trump-mccain-227723,Not up for re-election,,
John,McCain,AZ,Senator,Incumbent Senator,N/A,2016,Opposed after 2005 tape release,https://www.buzzfeed.com/andrewkaczynski/three-senators-say-they-disagree-with-trump-but-will-support?utm_term=.frnOrp0aX#.pmnxMQ7WP,Lean Republican,Ann Kirkpatrick,http://www.kirkpatrickforsenate.com/
Doug,LaMalfa,CA,Representative,Incumbent Representative,1,2016,Support,http://www.sfchronicle.com/politics/article/California-Republicans-are-falling-in-place-7463130.php,No,,
Dale,Mensing,CA,Candidate,Candidate for Representative,2,2016,Unknown,,No,,
Eugene,Cleek,CA,Candidate,Candidate for Representative,3,2016,Unknown,,No,,
Tom,McClintock,CA,Representative,Incumbent Representative,4,2016,Support,http://www.kcra.com/news/some-republicans-worry-about-trump-effect-on-ca-races/39386808,No,,
Carlos,Santamaria,CA,Candidate,Candidate for Representative,5,2016,Unknown,,No,,
Robert,Evans,CA,Candidate,Candidate for Representative,6,2016,Unknown,,No,,
Scott,Jones,CA,Candidate,Candidate for Representative,7,2016,Unsure or won't say,http://www.sacbee.com/news/politics-government/capitol-alert/article94468607.html,Lean Democrat,Ami Bera,http://www.beraforcongress.com/
Paul,Cook,CA,Representative,Incumbent Representative,8,2016,Support,http://www.joinpaulcook.com/blog/post/2016/05/11/Colonel-Paul-Cook-(ret)-releases-statement-on-Trump-nomination.aspx,No,,
Antonio,Amador,CA,Candidate,Candidate for Representative,9,2016,Unknown,,No,,
Jeff,Denham,CA,Representative,Incumbent Representative,10,2016,Support,https://twitter.com/RepJeffDenham/status/709470561747996672,Lean Republican,Michael Eggman,https://eggmanforcongress.com/
Roger,Petersen,CA,Candidate,Candidate for Representative,11,2016,Unknown,,No,,
Sue,Caro,CA,Candidate,Candidate for Representative,13,2016,Opposed before 2005 tape release,https://twitter.com/suecaro1/status/756348081415872512,No,,
Angel,Cardenas,CA,Candidate,Candidate for Representative,14,2016,Unknown,,No,,
Danny,Turner,CA,Candidate,Candidate for Representative,15,2016,Unknown,,No,,
Johnny,Tacherra,CA,Candidate,Candidate for Representative,16,2016,Unknown,,No,,
Richard,Fox,CA,Candidate,Candidate for Representative,18,2016,Opposed before 2005 tape release,http://drfoxfor2016.com/,No,,
G. Burt,Lancaster,CA,Candidate,Candidate for Representative,19,2016,Unknown,,No,,
Casey,Lucius,CA,Candidate,Candidate for Representative,20,2016,Opposed before 2005 tape release,http://www.ksbw.com/article/casey-lucius-i-do-not-support-donald-trump-for-president/1401123,No,,
David,Valadao,CA,Representative,Incumbent Representative,21,2016,Opposed before 2005 tape release,http://www.fresnobee.com/news/politics-government/politics-columns-blogs/political-notebook/article86701207.html,Lean Republican,Emilio Huerta,http://www.huertaforcongress.com/
Devin,Nunes,CA,Representative,Incumbent Representative,22,2016,Endorser,http://www.sfchronicle.com/politics/article/California-Republicans-are-falling-in-place-7463130.php,No,,
Kevin,McCarthy,CA,Representative,Incumbent Representative,23,2016,Support,http://bakersfieldnow.com/news/local/mccarthy-backs-trump-i-will-support-whoever-becomes-the-republican-nominee,No,,
Justin,Fareed,CA,Candidate,Candidate for Representative,24,2016,Unknown,,Lean Democrat,Salud Carbajal,https://saludcarbajal.com/
Steve,Knight,CA,Representative,Incumbent Representative,25,2016,Unsure or won't say,http://www.latimes.com/politics/la-pol-sac-essential-politics-updates-california-republican-in-swing-1470169943-htmlstory.html,Toss-Up,Bryan Caforio,http://bryancaforio.com/
Rafael,Dagnesses,CA,Candidate,Candidate for Representative,26,2016,Unknown,,No,,
Jack,Orswell,CA,Candidate,Candidate for Representative,27,2016,Unknown,,No,,
Lenore,Solis,CA,Candidate,Candidate for Representative,28,2016,Unknown,,No,,
Mark,Reed,CA,Candidate,Candidate for Representative,30,2016,Unsure or won't say,http://www.latimes.com/politics/essential/la-pol-sac-essential-politics-updates-another-california-republican-struggles-1469232409-htmlstory.html,No,,
Paul,Chabot,CA,Candidate,Candidate for Representative,31,2016,Endorser,http://www.pe.com/articles/trump-802198-republican-district.html,No,,
Kenneth,Wright,CA,Candidate,Candidate for Representative,33,2016,Unknown,,No,,
Tyler,Fischella,CA,Candidate,Candidate for Representative,35,2016,Unknown,,No,,
Jeff,Stone,CA,Candidate,Candidate for Representative,36,2016,Unsure or won't say,http://www.sacbee.com/opinion/article93419247.html,No,,
Ryan,Downing,CA,Candidate,Candidate for Representative,38,2016,Unknown,,No,,
Edward,Royce,CA,Representative,Incumbent Representative,39,2016,Support,http://www.ocregister.com/articles/trump-715832-county-percent.html,No,,
Doug,Shepherd,CA,Candidate,Candidate for Representative,41,2016,Support,http://www.pe.com/articles/trump-802198-republican-district.html,No,,
Ken,Calvert,CA,Representative,Incumbent Representative,42,2016,Support,http://calvertforcongress.com/news/,No,,
Omar,Navarro,CA,Candidate,Candidate for Representative,43,2016,Support,https://www.theguardian.com/us-news/2016/sep/10/viva-donald-trump-what-motivates-hispanic-supporters-republican-presidential-candidate,No,,
Mimi,Walters,CA,Representative,Incumbent Representative,45,2016,Support,http://www.latimes.com/politics/la-pol-ca-donald-trump-california-endorsements-20160513-snap-htmlstory.html,No,,
Andy,Whallon,CA,Candidate,Candidate for Representative,47,2016,Unknown,,No,,
Dana,Rohrabacher,CA,Representative,Incumbent Representative,48,2016,Support,http://www.sfchronicle.com/politics/article/California-Republicans-are-falling-in-place-7463130.php,No,,
Darrell,Issa,CA,Representative,Incumbent Representative,49,2016,Endorser,http://www.latimes.com/politics/la-pol-sac-essential-poli-rep-darrell-issa-endorses-donald-trump-1462491805-htmlstory.html,Lean Republican,Douglas Applegate,http://applegateforcongress.com/
Duncan,Hunter,CA,Representative,Incumbent Representative,50,2016,Endorser,http://www.politico.com/blogs/2016-gop-primary-live-updates-and-results/2016/02/duncan-hunter-endorses-donald-trump-219725,No,,
Juan,Hidalgo Jr,CA,Candidate,Candidate for Representative,51,2016,Unknown,,No,,
Denise,Gitsham,CA,Candidate,Candidate for Representative,52,2016,Support,http://dccc.org/prefer-just-tell-us-support-trump/,Likely Democrat,Scott Peters,http://www.scottpeters.com/
James,Veltmeyer,CA,Candidate,Candidate for Representative,53,2016,Unknown,,No,,
Casper,Stockham,CO,Candidate,Candidate for Representative,1,2016,Support,http://www.denverpost.com/2016/07/02/donald-trump-western-conservative-summit-republicans/,,,
Nicholas,Morse,CO,Candidate,Candidate for Representative,2,2016,Support,http://www.reporterherald.com/news/election/ci_30082880/northern-colorado-trump-supporters-advocate-gop-unity,,,
Scott,Tipton,CO,Representative,Incumbent Representative,3,2016,Support,http://www.9news.com/news/politics/would-colorado-gop-officials-back-trump/72471618,Likely Republican,Gail Schwartz,http://schwartzforcongress.org/
Ken,Buck,CO,Representative,Incumbent Representative,4,2016,Unsure or won't say,http://www.9news.com/news/politics/rep-buck-not-committing-on-trump/177826925,No,,
Doug,Lamborn,CO,Representative,Incumbent Representative,5,2016,Support,http://www.9news.com/news/politics/would-colorado-gop-officials-back-trump/72471618,No,,
Mike,Coffman,CO,Representative,Incumbent Representative,6,2016,Opposed before 2005 tape release,http://www.politico.com/story/2016/08/republican-releases-ad-promising-to-stand-up-to-trump-226642,Toss-Up,,
Darryl,Glenn,CO,Candidate,Candidate for Senator,N/A,2016,Endorser,http://www.breitbart.com/2016-presidential-race/2016/07/04/colorado-senate-candidate-darryl-glenn-i-proudly-stand-with-donald-trump/,Likely Democrat,Michael Bennet,http://bennetforcolorado.com/
Cory,Gardner,CO,Senator,Incumbent Senator,N/A,2020,Opposed after 2005 tape release,http://www.denverpost.com/2016/10/08/political-fallout-continues-trump-vulgar-comments-women/,Not up for re-election,,
Matthew,Corey,CT,Candidate,Candidate for Representative,1,2016,Endorser,http://ctmirror.org/2016/06/30/some-ct-gop-challengers-give-trump-a-cool-embrace-most-wont-attend-convention/,No,,
Daria,Novak,CT,Candidate,Candidate for Representative,2,2016,Endorser,http://ctmirror.org/2016/06/30/some-ct-gop-challengers-give-trump-a-cool-embrace-most-wont-attend-convention/,No,,
Angel,Cadena,CT,Candidate,Candidate for Representative,3,2016,Endorser,http://ctmirror.org/2016/06/30/some-ct-gop-challengers-give-trump-a-cool-embrace-most-wont-attend-convention/,No,,
John,Shaban,CT,Candidate,Candidate for Representative,4,2016,Unsure or won't say,http://ctmirror.org/2016/06/30/some-ct-gop-challengers-give-trump-a-cool-embrace-most-wont-attend-convention/,No,,
Clay,Cope,CT,Candidate,Candidate for Representative,5,2016,Support,http://ctmirror.org/2016/06/30/some-ct-gop-challengers-give-trump-a-cool-embrace-most-wont-attend-convention/,No,,
Dan,Carter,CT,Candidate,Candidate for Senator,N/A,2016,Support,http://www.norwichbulletin.com/opinion/20160825/our-view-gop-congressional-candidates-handle-trump-differently,No,,
Hans,Reigle,DE,Candidate,Candidate for Representative,0,2016,Unknown,,No,,
Colin,Bonini,DE,Candidate,Candidate for Governor,N/A,2016,Endorser,https://www.youtube.com/watch?v=i1NNi5jteJw,No,,
Matt,Gaetz,FL,Candidate,Candidate for Representative,1,2016,Endorser,http://news.wfsu.org/post/nw-fla-republican-matt-gaetz-announces-congressional-bid-endorses-donald-trump,No,,
Neal,Dunn,FL,Candidate,Candidate for Representative,2,2016,Unknown,,Likely Republican,Walt Dartland,http://waltdartland2016.com/
Ted,Yoho,FL,Representative,Incumbent Representative,3,2016,Endorser,https://assets.donaldjtrump.com/Yoho_Endorsement.pdf,No,,
John,Rutherford,FL,Candidate,Candidate for Representative,4,2016,Unknown,,No,,
Glo,Smith,FL,Candidate,Candidate for Representative,5,2016,Endorser,"http://pontevedrarecorder.com/stories/north-florida-women-unite-for-trump-at-sawgrass-country-club-event,2093",No,,
Ron,DeSantis,FL,Representative,Incumbent Representative,6,2016,Support,http://www.tallahassee.com/story/news/politics/2016/05/15/florida-gop-lawmakers-slowly-getting-behind-trump-nominee/84403610/,No,,
John,Mica,FL,Representative,Incumbent Representative,7,2016,Support,http://www.tallahassee.com/story/news/politics/2016/05/15/florida-gop-lawmakers-slowly-getting-behind-trump-nominee/84403610/,Lean Republican,Stephanie Murphy,http://www.stephaniemurphyforcongress.com/
Bill,Posey,FL,Representative,Incumbent Representative,8,2016,Support,http://www.tallahassee.com/story/news/politics/2016/05/15/florida-gop-lawmakers-slowly-getting-behind-trump-nominee/84403610/,No,,
Wayne,Liebnitzky,FL,Candidate,Candidate for Representative,9,2016,Unknown,,No,,
Thuy,Lowe,FL,Candidate,Candidate for Representative,10,2016,Endorser,http://www.usatoday.com/story/news/politics/onpolitics/2016/07/19/daily-show-interview-rnc/87309062/,Likely Democrat,Val Demings,http://www.valdemings.com/
Daniel,Webster,FL,Representative,Incumbent Representative,11,2016,Unknown,,No,,
Gus,Bilirakis,FL,Representative,Incumbent Representative,12,2016,Support,http://www.tampabay.com/blogs/the-buzz-florida-politics/trump-support-among-tampa-bay-area-congressmen-less-than-joyous/2276654,No,,
David,Jolly,FL,Representative,Incumbent Representative,13,2016,Support,http://www.tampabay.com/blogs/the-buzz-florida-politics/trump-support-among-tampa-bay-area-congressmen-less-than-joyous/2276654,Lean Democrat,Charlie Crist,http://www.charliecrist.com/
Christine,Quinn,FL,Candidate,Candidate for Representative,14,2016,Endorser,http://floridapolitics.com/archives/216131-meet-christine-quinn-woman-wants-take-away-kathy-castors-job,No,,
Dennis,Ross,FL,Representative,Incumbent Representative,15,2016,Support,http://www.sunshinestatenews.com/story/dennis-ross-takes-donald-trumps-side-over-paul-ryan,No,,
Vern,Buchanan,FL,Representative,Incumbent Representative,16,2016,Support,http://www.tampabay.com/blogs/the-buzz-florida-politics/trump-support-among-tampa-bay-area-congressmen-less-than-joyous/2276654,No,,
Thomas,Rooney,FL,Representative,Incumbent Representative,17,2016,Support,http://www.tampabay.com/blogs/the-buzz-florida-politics/trump-support-among-tampa-bay-area-congressmen-less-than-joyous/2276654,No,,
Brian,Mast,FL,Candidate,Candidate for Representative,18,2016,Endorser,http://www.breitbart.com/2016-presidential-race/2016/06/08/mast-endorses-trump-rats-call-exterminator/,Toss-Up,Randy Perkins,http://www.randyperkinsforcongress.com/
Francis,Rooney,FL,Candidate,Candidate for Representative,19,2016,Support,http://floridapolitics.com/archives/212343-francis-rooney-says-100-percent-donald-trump,No,,
Gary,Stein,FL,Candidate,Candidate for Representative,20,2016,Unknown,,No,,
Paul,Spain,FL,Candidate,Candidate for Representative,21,2016,Unknown,,No,,
Andrea,Leigh McGee,FL,Candidate,Candidate for Representative,22,2016,Unknown,,No,,
Joe,Kaufman,FL,Candidate,Candidate for Representative,23,2016,Endorser,http://kaufmanforcongress.com/2016/08/joe-kaufman-at-trump-rally/,No,,
Mario,Diaz-Balart,FL,Representative,Incumbent Representative,25,2016,Support,http://www.tallahassee.com/story/news/politics/2016/05/15/florida-gop-lawmakers-slowly-getting-behind-trump-nominee/84403610/,No,,
Carlos,Curbelo,FL,Representative,Incumbent Representative,26,2016,Opposed before 2005 tape release,http://www.wsj.com/articles/republican-divide-about-trump-grows-1456797124,Toss-Up,Joe Garcia,http://www.joegarciaforfl.com/
Ileana,Ros-Lehtinen,FL,Representative,Incumbent Representative,27,2016,Opposed before 2005 tape release,http://miamiherald.typepad.com/nakedpolitics/2016/05/miami-congresswoman-confirms-she-wont-vote-for-donald-trump-or-hillary-clinton.html,Likely Republican,Scott Fuhrman,http://www.scottfuhrman.com/
Rick,Scott,FL,Governor,Incumbent Governor,N/A,2018,Endorser,http://www.politico.com/states/florida/story/2016/07/rick-scott-to-chair-pro-trump-super-pac-104308,Not up for re-election,,
Marco,Rubio,FL,Senator,Incumbent Senator,N/A,2016,Support,https://www.theguardian.com/us-news/live/2016/may/10/west-virginia-nebraska-primary-polls-live-donald-trump-sanders-clinton?page=with:block-57326037e4b0a3721d605463#block-57326037e4b0a3721d605463,Toss-Up,Patrick Murphy,https://www.murphyforflorida.com/
Buddy,Carter,GA,Representative,Incumbent Representative,1,2016,Endorser,http://savannahnow.com/elections-news/2016-07-07/savannah-s-us-rep-buddy-carter-officially-endorses-donald-trump-president,No,,
Greg,Duke,GA,Candidate,Candidate for Representative,2,2016,Unknown,,No,,
Drew,Ferguson,GA,Candidate,Candidate for Representative,3,2016,Unknown,,No,,
Victor,Armendariz,GA,Candidate,Candidate for Representative,4,2016,Unknown,,No,,
Douglas,Bell,GA,Candidate,Candidate for Representative,5,2016,Unknown,,No,,
Tom,Price,GA,Representative,Incumbent Representative,6,2016,Endorser,https://www.donaldjtrump.com/press-releases/house-chairmen-endorse-donald-j.-trump-for-president1?_ga=1.74672850.1309160727.1459799817,No,,
Rob,Woodall,GA,Representative,Incumbent Representative,7,2016,Endorser,http://www.albanyherald.com/news/local/u-s-rep-austin-scott-joins-gop-lawmakers-on-donald/article_9bf0aa17-3b82-5b44-bcbd-70e0c44298a6.html,No,,
Austin,Scott,GA,Representative,Incumbent Representative,8,2016,Endorser,http://www.albanyherald.com/news/local/u-s-rep-austin-scott-joins-gop-lawmakers-on-donald/article_9bf0aa17-3b82-5b44-bcbd-70e0c44298a6.html,No,,
Doug,Collins,GA,Representative,Incumbent Representative,9,2016,Endorser,http://www.albanyherald.com/news/local/u-s-rep-austin-scott-joins-gop-lawmakers-on-donald/article_9bf0aa17-3b82-5b44-bcbd-70e0c44298a6.html,No,,
